Store ID,Address,City,State
5601,21132 BEACH BLVD,HUNTINGTON BEACH,CA
5602,20226 AVALON BLVD,CARSON,CA
5603,12270 PARAMOUNT BLVD,DOWNEY,CA
5604,14441 INGLEWOOD AVE,HAWTHORNE,CA
5605,14530 NORDHOFF ST,PANORAMA CITY,CA
5606,1250 E GIBSON RD,WOODLAND,CA
5608,941 ALAMO DR,VACAVILLE,CA
5609,501 SERENO DR,VALLEJO,CA
5610,9100 ALCOSTA BLVD,SAN RAMON,CA
5611,3112 SANTA RITA RD,PLEASANTON,CA
5629,3300 BROADWAY BAYSHORE MALL,EUREKA,CA
5632,1804 E ASHLAN AVE,FRESNO,CA
5633,1830 SHAW AVE,CLOVIS,CA
5634,6855 N WILLOW AVE,FRESNO,CA
5635,1320 N DEMAREE ST,VISALIA,CA
5637,1046 MISSION AVE,OCEANSIDE,CA
5640,1120 S ANAHEIM BLVD,ANAHEIM,CA
5641,1000 E IMPERIAL HWY,LA HABRA,CA
5643,421 W ESPLANADE DR,OXNARD,CA
5644,16555 VON KARMAN AVE,IRVINE,CA
5658,2240 S BRADLEY RD,SANTA MARIA,CA
5659,500 S BLOSSER RD,SANTA MARIA,CA
5661,14865 TELEGRAPH ROAD,LA MIRADA,CA
5663,8844 LIMONITE AVE,JURUPA VALLEY,CA
5664,275 WEST VENTURA BLVD,CAMARILLO,CA
5683,8455 ELK GROVE BLVD,ELK GROVE,CA
5684,8810 GROSSMONT BLVD,LA MESA,CA
5686,1301 N VICTORY PL,BURBANK,CA
5689,3875 RANCHO VISTA BOULEVARD,PALMDALE,CA
5691,1445 E FOOTHILL BLVD,UPLAND,CA
5701,14061 W. WHITESBRIDGE AVENUE,KERMAN,CA
5710,3848 MCHENRY AVE,MODESTO,CA
5751,1375 N DAVIS RD.,SALINAS,CA
5766,170 COCHRANE PLZ,MORGAN HILL,CA
5807,2100 N LONG BEACH BLVD,COMPTON,CA
5843,1030 SPERRY AVE,PATTERSON,CA
5848,10075 BRUCEVILLE RD,ELK GROVE,CA
5859,401 N CENTRAL AVE,WASCO,CA
5874,22015 HAWTHORNE BLVD,TORRANCE,CA
5884,5095 ALMADEN EXPY,SAN JOSE,CA
5886,1550 LEUCADIA BLVD,ENCINITAS,CA
5890,800 COMMERCE AVE,ATWATER,CA
5930,88 E ORANGETHORPE AVE,ANAHEIM,CA
5938,575 SATURN BLVD,SAN DIEGO,CA
5956,3750 S MOONEY BLVD,VISALIA,CA
5979,255 LINCOLN BLVD,LINCOLN,CA
5981,6005 MADISON AVE,CARMICHAEL,CA
5982,2700 MARCONI AVE,SACRAMENTO,CA
5996,1330 E GRAND AVE,ESCONDIDO,CA
8958,44100 JEFFERSON ST STE F,INDIO,CA
